"YA_L1";"YA_L2";"YA_L3";"YA_L4";"YA_L5";"YA_L6";"YA_L7";"YA_L8";"YA_L9";"YA_L10";"YA_L11"
-15,432110886;-15,108231855;-14,130765035;-11,800398119;-9,976163288;-9,82326904;-10,084052518;-9,597487364;-11,400966249;-12,407690233;-13,110589028
-15,464575873;-15,432110886;-15,108231855;-14,130765035;-11,800398119;-9,976163288;-9,82326904;-10,084052518;-9,597487364;-11,400966249;-12,407690233
-16,026556019;-15,464575873;-15,432110886;-15,108231855;-14,130765035;-11,800398119;-9,976163288;-9,82326904;-10,084052518;-9,597487364;-11,400966249
-15,95168428;-16,026556019;-15,464575873;-15,432110886;-15,108231855;-14,130765035;-11,800398119;-9,976163288;-9,82326904;-10,084052518;-9,597487364
-15,775785263;-15,95168428;-16,026556019;-15,464575873;-15,432110886;-15,108231855;-14,130765035;-11,800398119;-9,976163288;-9,82326904;-10,084052518
-16,516985491;-15,775785263;-15,95168428;-16,026556019;-15,464575873;-15,432110886;-15,108231855;-14,130765035;-11,800398119;-9,976163288;-9,82326904
-17,316898948;-16,516985491;-15,775785263;-15,95168428;-16,026556019;-15,464575873;-15,432110886;-15,108231855;-14,130765035;-11,800398119;-9,976163288
-17,944945265;-17,316898948;-16,516985491;-15,775785263;-15,95168428;-16,026556019;-15,464575873;-15,432110886;-15,108231855;-14,130765035;-11,800398119
-16,966918828;-17,944945265;-17,316898948;-16,516985491;-15,775785263;-15,95168428;-16,026556019;-15,464575873;-15,432110886;-15,108231855;-14,130765035
-16,001498933;-16,966918828;-17,944945265;-17,316898948;-16,516985491;-15,775785263;-15,95168428;-16,026556019;-15,464575873;-15,432110886;-15,108231855
-13,415635964;-16,001498933;-16,966918828;-17,944945265;-17,316898948;-16,516985491;-15,775785263;-15,95168428;-16,026556019;-15,464575873;-15,432110886
-11,054585497;-13,415635964;-16,001498933;-16,966918828;-17,944945265;-17,316898948;-16,516985491;-15,775785263;-15,95168428;-16,026556019;-15,464575873
-8,883906568;-11,054585497;-13,415635964;-16,001498933;-16,966918828;-17,944945265;-17,316898948;-16,516985491;-15,775785263;-15,95168428;-16,026556019
