"YM_L1";"YM_L2";"YM_L3";"YM_L4";"YM_L5";"YM_L6";"YM_L7";"YM_L8";"YM_L9";"YM_L10";"YM_L11"
-8,502965107;-6,502760225;-8,153985949;-2,420940989;5,904350961;4,689885222;-3,139539722;-4,944962328;-1,070739568;-1,961447964;-8,057911517
-17,723034118;-8,502965107;-6,502760225;-8,153985949;-2,420940989;5,904350961;4,689885222;-3,139539722;-4,944962328;-1,070739568;-1,961447964
-19,666031496;-17,723034118;-8,502965107;-6,502760225;-8,153985949;-2,420940989;5,904350961;4,689885222;-3,139539722;-4,944962328;-1,070739568
-9,533365947;-19,666031496;-17,723034118;-8,502965107;-6,502760225;-8,153985949;-2,420940989;5,904350961;4,689885222;-3,139539722;-4,944962328
-1,65880399;-9,533365947;-19,666031496;-17,723034118;-8,502965107;-6,502760225;-8,153985949;-2,420940989;5,904350961;4,689885222;-3,139539722
-3,258225021;-1,65880399;-9,533365947;-19,666031496;-17,723034118;-8,502965107;-6,502760225;-8,153985949;-2,420940989;5,904350961;4,689885222
-5,828482908;-3,258225021;-1,65880399;-9,533365947;-19,666031496;-17,723034118;-8,502965107;-6,502760225;-8,153985949;-2,420940989;5,904350961
-4,219915557;-5,828482908;-3,258225021;-1,65880399;-9,533365947;-19,666031496;-17,723034118;-8,502965107;-6,502760225;-8,153985949;-2,420940989
-3,257433701;-4,219915557;-5,828482908;-3,258225021;-1,65880399;-9,533365947;-19,666031496;-17,723034118;-8,502965107;-6,502760225;-8,153985949
-4,95628651;-3,257433701;-4,219915557;-5,828482908;-3,258225021;-1,65880399;-9,533365947;-19,666031496;-17,723034118;-8,502965107;-6,502760225
-4,915608046;-4,95628651;-3,257433701;-4,219915557;-5,828482908;-3,258225021;-1,65880399;-9,533365947;-19,666031496;-17,723034118;-8,502965107
-2,129553745;-4,915608046;-4,95628651;-3,257433701;-4,219915557;-5,828482908;-3,258225021;-1,65880399;-9,533365947;-19,666031496;-17,723034118
-1,420320141;-2,129553745;-4,915608046;-4,95628651;-3,257433701;-4,219915557;-5,828482908;-3,258225021;-1,65880399;-9,533365947;-19,666031496
-3,810906354;-1,420320141;-2,129553745;-4,915608046;-4,95628651;-3,257433701;-4,219915557;-5,828482908;-3,258225021;-1,65880399;-9,533365947
-4,880675936;-3,810906354;-1,420320141;-2,129553745;-4,915608046;-4,95628651;-3,257433701;-4,219915557;-5,828482908;-3,258225021;-1,65880399
-3,166193092;-4,880675936;-3,810906354;-1,420320141;-2,129553745;-4,915608046;-4,95628651;-3,257433701;-4,219915557;-5,828482908;-3,258225021
-1,778894452;-3,166193092;-4,880675936;-3,810906354;-1,420320141;-2,129553745;-4,915608046;-4,95628651;-3,257433701;-4,219915557;-5,828482908
-2,407716906;-1,778894452;-3,166193092;-4,880675936;-3,810906354;-1,420320141;-2,129553745;-4,915608046;-4,95628651;-3,257433701;-4,219915557
-3,462435069;-2,407716906;-1,778894452;-3,166193092;-4,880675936;-3,810906354;-1,420320141;-2,129553745;-4,915608046;-4,95628651;-3,257433701
-4,372042154;-3,462435069;-2,407716906;-1,778894452;-3,166193092;-4,880675936;-3,810906354;-1,420320141;-2,129553745;-4,915608046;-4,95628651
-5,998452582;-4,372042154;-3,462435069;-2,407716906;-1,778894452;-3,166193092;-4,880675936;-3,810906354;-1,420320141;-2,129553745;-4,915608046
-6,927049724;-5,998452582;-4,372042154;-3,462435069;-2,407716906;-1,778894452;-3,166193092;-4,880675936;-3,810906354;-1,420320141;-2,129553745
-5,329969714;-6,927049724;-5,998452582;-4,372042154;-3,462435069;-2,407716906;-1,778894452;-3,166193092;-4,880675936;-3,810906354;-1,420320141
-2,966965445;-5,329969714;-6,927049724;-5,998452582;-4,372042154;-3,462435069;-2,407716906;-1,778894452;-3,166193092;-4,880675936;-3,810906354
-2,470109746;-2,966965445;-5,329969714;-6,927049724;-5,998452582;-4,372042154;-3,462435069;-2,407716906;-1,778894452;-3,166193092;-4,880675936
-2,749232546;-2,470109746;-2,966965445;-5,329969714;-6,927049724;-5,998452582;-4,372042154;-3,462435069;-2,407716906;-1,778894452;-3,166193092
-2,01281624;-2,749232546;-2,470109746;-2,966965445;-5,329969714;-6,927049724;-5,998452582;-4,372042154;-3,462435069;-2,407716906;-1,778894452
