"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
0,031;-0,142;0,604;0,31;-0,063;-0,33;-0,538;0,034;0,132;0,181;0,005;0,554
0,088;0,031;-0,142;0,604;0,31;-0,063;-0,33;-0,538;0,034;0,132;0,181;0,005
0,162;0,088;0,031;-0,142;0,604;0,31;-0,063;-0,33;-0,538;0,034;0,132;0,181
0,584;0,162;0,088;0,031;-0,142;0,604;0,31;-0,063;-0,33;-0,538;0,034;0,132
-0,159;0,584;0,162;0,088;0,031;-0,142;0,604;0,31;-0,063;-0,33;-0,538;0,034
-0,097;-0,159;0,584;0,162;0,088;0,031;-0,142;0,604;0,31;-0,063;-0,33;-0,538
-0,157;-0,097;-0,159;0,584;0,162;0,088;0,031;-0,142;0,604;0,31;-0,063;-0,33
-0,221;-0,157;-0,097;-0,159;0,584;0,162;0,088;0,031;-0,142;0,604;0,31;-0,063
-0,001;-0,221;-0,157;-0,097;-0,159;0,584;0,162;0,088;0,031;-0,142;0,604;0,31
0,097;-0,001;-0,221;-0,157;-0,097;-0,159;0,584;0,162;0,088;0,031;-0,142;0,604
0,463;0,097;-0,001;-0,221;-0,157;-0,097;-0,159;0,584;0,162;0,088;0,031;-0,142
0,642;0,463;0,097;-0,001;-0,221;-0,157;-0,097;-0,159;0,584;0,162;0,088;0,031
0,089;0,642;0,463;0,097;-0,001;-0,221;-0,157;-0,097;-0,159;0,584;0,162;0,088
-0,522;0,089;0,642;0,463;0,097;-0,001;-0,221;-0,157;-0,097;-0,159;0,584;0,162
-0,186;-0,522;0,089;0,642;0,463;0,097;-0,001;-0,221;-0,157;-0,097;-0,159;0,584
-0,222;-0,186;-0,522;0,089;0,642;0,463;0,097;-0,001;-0,221;-0,157;-0,097;-0,159
-0,243;-0,222;-0,186;-0,522;0,089;0,642;0,463;0,097;-0,001;-0,221;-0,157;-0,097
-0,529;-0,243;-0,222;-0,186;-0,522;0,089;0,642;0,463;0,097;-0,001;-0,221;-0,157
-0,526;-0,529;-0,243;-0,222;-0,186;-0,522;0,089;0,642;0,463;0,097;-0,001;-0,221
-0,628;-0,526;-0,529;-0,243;-0,222;-0,186;-0,522;0,089;0,642;0,463;0,097;-0,001
-0,742;-0,628;-0,526;-0,529;-0,243;-0,222;-0,186;-0,522;0,089;0,642;0,463;0,097
