"YA_L1";"YA_L2";"YA_L3";"YA_L4";"YA_L5";"YA_L6";"YA_L7";"YA_L8";"YA_L9";"YA_L10";"YA_L11"
-6,006190956;-9,206722582;-12,747923894;-16,430742154;-20,264900712;-22,288175302;-25,568462627;-28,00157089;-28,494970503;-27,071706461;-26,200805516
-3,078088603;-6,006190956;-9,206722582;-12,747923894;-16,430742154;-20,264900712;-22,288175302;-25,568462627;-28,00157089;-28,494970503;-27,071706461
-2,342807183;-3,078088603;-6,006190956;-9,206722582;-12,747923894;-16,430742154;-20,264900712;-22,288175302;-25,568462627;-28,00157089;-28,494970503
1,7864563;-2,342807183;-3,078088603;-6,006190956;-9,206722582;-12,747923894;-16,430742154;-20,264900712;-22,288175302;-25,568462627;-28,00157089
6,383334546;1,7864563;-2,342807183;-3,078088603;-6,006190956;-9,206722582;-12,747923894;-16,430742154;-20,264900712;-22,288175302;-25,568462627
9,547850338;6,383334546;1,7864563;-2,342807183;-3,078088603;-6,006190956;-9,206722582;-12,747923894;-16,430742154;-20,264900712;-22,288175302
11,54921613;9,547850338;6,383334546;1,7864563;-2,342807183;-3,078088603;-6,006190956;-9,206722582;-12,747923894;-16,430742154;-20,264900712
12,766814962;11,54921613;9,547850338;6,383334546;1,7864563;-2,342807183;-3,078088603;-6,006190956;-9,206722582;-12,747923894;-16,430742154
14,926260973;12,766814962;11,54921613;9,547850338;6,383334546;1,7864563;-2,342807183;-3,078088603;-6,006190956;-9,206722582;-12,747923894
15,22103734;14,926260973;12,766814962;11,54921613;9,547850338;6,383334546;1,7864563;-2,342807183;-3,078088603;-6,006190956;-9,206722582
14,462928838;15,22103734;14,926260973;12,766814962;11,54921613;9,547850338;6,383334546;1,7864563;-2,342807183;-3,078088603;-6,006190956
12,901439352;14,462928838;15,22103734;14,926260973;12,766814962;11,54921613;9,547850338;6,383334546;1,7864563;-2,342807183;-3,078088603
8,973744571;12,901439352;14,462928838;15,22103734;14,926260973;12,766814962;11,54921613;9,547850338;6,383334546;1,7864563;-2,342807183
6,623573772;8,973744571;12,901439352;14,462928838;15,22103734;14,926260973;12,766814962;11,54921613;9,547850338;6,383334546;1,7864563
5,65281462;6,623573772;8,973744571;12,901439352;14,462928838;15,22103734;14,926260973;12,766814962;11,54921613;9,547850338;6,383334546
4,890936011;5,65281462;6,623573772;8,973744571;12,901439352;14,462928838;15,22103734;14,926260973;12,766814962;11,54921613;9,547850338
4,000286842;4,890936011;5,65281462;6,623573772;8,973744571;12,901439352;14,462928838;15,22103734;14,926260973;12,766814962;11,54921613
3,065642729;4,000286842;4,890936011;5,65281462;6,623573772;8,973744571;12,901439352;14,462928838;15,22103734;14,926260973;12,766814962
1,759023355;3,065642729;4,000286842;4,890936011;5,65281462;6,623573772;8,973744571;12,901439352;14,462928838;15,22103734;14,926260973
0,89564679;1,759023355;3,065642729;4,000286842;4,890936011;5,65281462;6,623573772;8,973744571;12,901439352;14,462928838;15,22103734
-0,869730138;0,89564679;1,759023355;3,065642729;4,000286842;4,890936011;5,65281462;6,623573772;8,973744571;12,901439352;14,462928838
-1,934788789;-0,869730138;0,89564679;1,759023355;3,065642729;4,000286842;4,890936011;5,65281462;6,623573772;8,973744571;12,901439352
-3,42647577;-1,934788789;-0,869730138;0,89564679;1,759023355;3,065642729;4,000286842;4,890936011;5,65281462;6,623573772;8,973744571
-3,524113825;-3,42647577;-1,934788789;-0,869730138;0,89564679;1,759023355;3,065642729;4,000286842;4,890936011;5,65281462;6,623573772
