"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
1,908;1,626;1,265;1,985;1,722;1,285;1,826;1,864;1,919;1,79;1,425;1,467
1,989;1,908;1,626;1,265;1,985;1,722;1,285;1,826;1,864;1,919;1,79;1,425
1,716;1,989;1,908;1,626;1,265;1,985;1,722;1,285;1,826;1,864;1,919;1,79
1,426;1,716;1,989;1,908;1,626;1,265;1,985;1,722;1,285;1,826;1,864;1,919
1,57;1,426;1,716;1,989;1,908;1,626;1,265;1,985;1,722;1,285;1,826;1,864
0,368;1,57;1,426;1,716;1,989;1,908;1,626;1,265;1,985;1,722;1,285;1,826
-0,516;0,368;1,57;1,426;1,716;1,989;1,908;1,626;1,265;1,985;1,722;1,285
-0,584;-0,516;0,368;1,57;1,426;1,716;1,989;1,908;1,626;1,265;1,985;1,722
-0,455;-0,584;-0,516;0,368;1,57;1,426;1,716;1,989;1,908;1,626;1,265;1,985
0,0169999999999999;-0,455;-0,584;-0,516;0,368;1,57;1,426;1,716;1,989;1,908;1,626;1,265
-0,159;0,0169999999999999;-0,455;-0,584;-0,516;0,368;1,57;1,426;1,716;1,989;1,908;1,626
0,41;-0,159;0,0169999999999999;-0,455;-0,584;-0,516;0,368;1,57;1,426;1,716;1,989;1,908
0,828;0,41;-0,159;0,0169999999999999;-0,455;-0,584;-0,516;0,368;1,57;1,426;1,716;1,989
1,053;0,828;0,41;-0,159;0,0169999999999999;-0,455;-0,584;-0,516;0,368;1,57;1,426;1,716
1,327;1,053;0,828;0,41;-0,159;0,0169999999999999;-0,455;-0,584;-0,516;0,368;1,57;1,426
0,564;1,327;1,053;0,828;0,41;-0,159;0,0169999999999999;-0,455;-0,584;-0,516;0,368;1,57
0,609;0,564;1,327;1,053;0,828;0,41;-0,159;0,0169999999999999;-0,455;-0,584;-0,516;0,368
0,421;0,609;0,564;1,327;1,053;0,828;0,41;-0,159;0,0169999999999999;-0,455;-0,584;-0,516
0,112;0,421;0,609;0,564;1,327;1,053;0,828;0,41;-0,159;0,0169999999999999;-0,455;-0,584
-0,051;0,112;0,421;0,609;0,564;1,327;1,053;0,828;0,41;-0,159;0,0169999999999999;-0,455
-0,538;-0,051;0,112;0,421;0,609;0,564;1,327;1,053;0,828;0,41;-0,159;0,0169999999999999
0,084;-0,538;-0,051;0,112;0,421;0,609;0,564;1,327;1,053;0,828;0,41;-0,159
0,823;0,084;-0,538;-0,051;0,112;0,421;0,609;0,564;1,327;1,053;0,828;0,41
1,069;0,823;0,084;-0,538;-0,051;0,112;0,421;0,609;0,564;1,327;1,053;0,828
0,768;1,069;0,823;0,084;-0,538;-0,051;0,112;0,421;0,609;0,564;1,327;1,053
0,583;0,768;1,069;0,823;0,084;-0,538;-0,051;0,112;0,421;0,609;0,564;1,327
0,264;0,583;0,768;1,069;0,823;0,084;-0,538;-0,051;0,112;0,421;0,609;0,564
-0,442;0,264;0,583;0,768;1,069;0,823;0,084;-0,538;-0,051;0,112;0,421;0,609
-1,613;-0,442;0,264;0,583;0,768;1,069;0,823;0,084;-0,538;-0,051;0,112;0,421
-2,228;-1,613;-0,442;0,264;0,583;0,768;1,069;0,823;0,084;-0,538;-0,051;0,112
-2,334;-2,228;-1,613;-0,442;0,264;0,583;0,768;1,069;0,823;0,084;-0,538;-0,051
-2,89;-2,334;-2,228;-1,613;-0,442;0,264;0,583;0,768;1,069;0,823;0,084;-0,538
-2,93;-2,89;-2,334;-2,228;-1,613;-0,442;0,264;0,583;0,768;1,069;0,823;0,084
-3,032;-2,93;-2,89;-2,334;-2,228;-1,613;-0,442;0,264;0,583;0,768;1,069;0,823
-2,942;-3,032;-2,93;-2,89;-2,334;-2,228;-1,613;-0,442;0,264;0,583;0,768;1,069
-2,653;-2,942;-3,032;-2,93;-2,89;-2,334;-2,228;-1,613;-0,442;0,264;0,583;0,768
-2,049;-2,653;-2,942;-3,032;-2,93;-2,89;-2,334;-2,228;-1,613;-0,442;0,264;0,583
-1,123;-2,049;-2,653;-2,942;-3,032;-2,93;-2,89;-2,334;-2,228;-1,613;-0,442;0,264
-1,233;-1,123;-2,049;-2,653;-2,942;-3,032;-2,93;-2,89;-2,334;-2,228;-1,613;-0,442
-1,043;-1,233;-1,123;-2,049;-2,653;-2,942;-3,032;-2,93;-2,89;-2,334;-2,228;-1,613
-0,751;-1,043;-1,233;-1,123;-2,049;-2,653;-2,942;-3,032;-2,93;-2,89;-2,334;-2,228
-0,873;-0,751;-1,043;-1,233;-1,123;-2,049;-2,653;-2,942;-3,032;-2,93;-2,89;-2,334
-0,923;-0,873;-0,751;-1,043;-1,233;-1,123;-2,049;-2,653;-2,942;-3,032;-2,93;-2,89
-1,454;-0,923;-0,873;-0,751;-1,043;-1,233;-1,123;-2,049;-2,653;-2,942;-3,032;-2,93
-1,566;-1,454;-0,923;-0,873;-0,751;-1,043;-1,233;-1,123;-2,049;-2,653;-2,942;-3,032
-1,687;-1,566;-1,454;-0,923;-0,873;-0,751;-1,043;-1,233;-1,123;-2,049;-2,653;-2,942
-1,783;-1,687;-1,566;-1,454;-0,923;-0,873;-0,751;-1,043;-1,233;-1,123;-2,049;-2,653
-1,555;-1,783;-1,687;-1,566;-1,454;-0,923;-0,873;-0,751;-1,043;-1,233;-1,123;-2,049
-1,544;-1,555;-1,783;-1,687;-1,566;-1,454;-0,923;-0,873;-0,751;-1,043;-1,233;-1,123
-1,089;-1,544;-1,555;-1,783;-1,687;-1,566;-1,454;-0,923;-0,873;-0,751;-1,043;-1,233
-0,603;-1,089;-1,544;-1,555;-1,783;-1,687;-1,566;-1,454;-0,923;-0,873;-0,751;-1,043
0,436;-0,603;-1,089;-1,544;-1,555;-1,783;-1,687;-1,566;-1,454;-0,923;-0,873;-0,751
