"YS_L1";"YS_L2";"YS_L3";"YS_L4";"YS_L5";"YS_L6";"YS_L7";"YS_L8";"YS_L9";"YS_L10";"YS_L11"
-0,147213567;-3,321729082;-0,532728135;4,499187029;0,559561203;-4,202877101;-0,750207162;1,740415344;-0,387388383;-2,370237687;-1,064718019
1,130804154;-0,147213567;-3,321729082;-0,532728135;4,499187029;0,559561203;-4,202877101;-0,750207162;1,740415344;-0,387388383;-2,370237687
-1,348776333;1,130804154;-0,147213567;-3,321729082;-0,532728135;4,499187029;0,559561203;-4,202877101;-0,750207162;1,740415344;-0,387388383
-2,278303064;-1,348776333;1,130804154;-0,147213567;-3,321729082;-0,532728135;4,499187029;0,559561203;-4,202877101;-0,750207162;1,740415344
-0,225446659;-2,278303064;-1,348776333;1,130804154;-0,147213567;-3,321729082;-0,532728135;4,499187029;0,559561203;-4,202877101;-0,750207162
1,245921889;-0,225446659;-2,278303064;-1,348776333;1,130804154;-0,147213567;-3,321729082;-0,532728135;4,499187029;0,559561203;-4,202877101
-1,477875607;1,245921889;-0,225446659;-2,278303064;-1,348776333;1,130804154;-0,147213567;-3,321729082;-0,532728135;4,499187029;0,559561203
-5,202650587;-1,477875607;1,245921889;-0,225446659;-2,278303064;-1,348776333;1,130804154;-0,147213567;-3,321729082;-0,532728135;4,499187029
-0,628639848;-5,202650587;-1,477875607;1,245921889;-0,225446659;-2,278303064;-1,348776333;1,130804154;-0,147213567;-3,321729082;-0,532728135
4,213114984;-0,628639848;-5,202650587;-1,477875607;1,245921889;-0,225446659;-2,278303064;-1,348776333;1,130804154;-0,147213567;-3,321729082
-0,341049266;4,213114984;-0,628639848;-5,202650587;-1,477875607;1,245921889;-0,225446659;-2,278303064;-1,348776333;1,130804154;-0,147213567
-4,380210648;-0,341049266;4,213114984;-0,628639848;-5,202650587;-1,477875607;1,245921889;-0,225446659;-2,278303064;-1,348776333;1,130804154
-1,492951093;-4,380210648;-0,341049266;4,213114984;-0,628639848;-5,202650587;-1,477875607;1,245921889;-0,225446659;-2,278303064;-1,348776333
1,548254561;-1,492951093;-4,380210648;-0,341049266;4,213114984;-0,628639848;-5,202650587;-1,477875607;1,245921889;-0,225446659;-2,278303064
0,208338531;1,548254561;-1,492951093;-4,380210648;-0,341049266;4,213114984;-0,628639848;-5,202650587;-1,477875607;1,245921889;-0,225446659
-1,499696074;0,208338531;1,548254561;-1,492951093;-4,380210648;-0,341049266;4,213114984;-0,628639848;-5,202650587;-1,477875607;1,245921889
0,654522038;-1,499696074;0,208338531;1,548254561;-1,492951093;-4,380210648;-0,341049266;4,213114984;-0,628639848;-5,202650587;-1,477875607
3,544685127;0,654522038;-1,499696074;0,208338531;1,548254561;-1,492951093;-4,380210648;-0,341049266;4,213114984;-0,628639848;-5,202650587
-0,232629856;3,544685127;0,654522038;-1,499696074;0,208338531;1,548254561;-1,492951093;-4,380210648;-0,341049266;4,213114984;-0,628639848
-5,541994154;-0,232629856;3,544685127;0,654522038;-1,499696074;0,208338531;1,548254561;-1,492951093;-4,380210648;-0,341049266;4,213114984
