"YA_L1";"YA_L2";"YA_L3";"YA_L4";"YA_L5";"YA_L6";"YA_L7";"YA_L8";"YA_L9";"YA_L10";"YA_L11"
0,512681415;-0,26914276;0,53661679;0,459017753;0,546942685;-0,289747216;-1,153798599;-1,623313179;-1,373488789;-0,977215041;-1,042702075
0,171772186;0,512681415;-0,26914276;0,53661679;0,459017753;0,546942685;-0,289747216;-1,153798599;-1,623313179;-1,373488789;-0,977215041
1,058221621;0,171772186;0,512681415;-0,26914276;0,53661679;0,459017753;0,546942685;-0,289747216;-1,153798599;-1,623313179;-1,373488789
1,26742859;1,058221621;0,171772186;0,512681415;-0,26914276;0,53661679;0,459017753;0,546942685;-0,289747216;-1,153798599;-1,623313179
1,594701994;1,26742859;1,058221621;0,171772186;0,512681415;-0,26914276;0,53661679;0,459017753;0,546942685;-0,289747216;-1,153798599
1,532087751;1,594701994;1,26742859;1,058221621;0,171772186;0,512681415;-0,26914276;0,53661679;0,459017753;0,546942685;-0,289747216
2,066779794;1,532087751;1,594701994;1,26742859;1,058221621;0,171772186;0,512681415;-0,26914276;0,53661679;0,459017753;0,546942685
2,043022418;2,066779794;1,532087751;1,594701994;1,26742859;1,058221621;0,171772186;0,512681415;-0,26914276;0,53661679;0,459017753
1,655527401;2,043022418;2,066779794;1,532087751;1,594701994;1,26742859;1,058221621;0,171772186;0,512681415;-0,26914276;0,53661679
1,767929866;1,655527401;2,043022418;2,066779794;1,532087751;1,594701994;1,26742859;1,058221621;0,171772186;0,512681415;-0,26914276
0,76208569;1,767929866;1,655527401;2,043022418;2,066779794;1,532087751;1,594701994;1,26742859;1,058221621;0,171772186;0,512681415
1,068469568;0,76208569;1,767929866;1,655527401;2,043022418;2,066779794;1,532087751;1,594701994;1,26742859;1,058221621;0,171772186
0,15961577;1,068469568;0,76208569;1,767929866;1,655527401;2,043022418;2,066779794;1,532087751;1,594701994;1,26742859;1,058221621
0,14504873;0,15961577;1,068469568;0,76208569;1,767929866;1,655527401;2,043022418;2,066779794;1,532087751;1,594701994;1,26742859
1,089766533;0,14504873;0,15961577;1,068469568;0,76208569;1,767929866;1,655527401;2,043022418;2,066779794;1,532087751;1,594701994
1,623601521;1,089766533;0,14504873;0,15961577;1,068469568;0,76208569;1,767929866;1,655527401;2,043022418;2,066779794;1,532087751
1,89930827;1,623601521;1,089766533;0,14504873;0,15961577;1,068469568;0,76208569;1,767929866;1,655527401;2,043022418;2,066779794
1,374366385;1,89930827;1,623601521;1,089766533;0,14504873;0,15961577;1,068469568;0,76208569;1,767929866;1,655527401;2,043022418
0,808436152;1,374366385;1,89930827;1,623601521;1,089766533;0,14504873;0,15961577;1,068469568;0,76208569;1,767929866;1,655527401
-0,064169855;0,808436152;1,374366385;1,89930827;1,623601521;1,089766533;0,14504873;0,15961577;1,068469568;0,76208569;1,767929866
1,070233818;-0,064169855;0,808436152;1,374366385;1,89930827;1,623601521;1,089766533;0,14504873;0,15961577;1,068469568;0,76208569
1,558558204;1,070233818;-0,064169855;0,808436152;1,374366385;1,89930827;1,623601521;1,089766533;0,14504873;0,15961577;1,068469568
0,010773121;1,558558204;1,070233818;-0,064169855;0,808436152;1,374366385;1,89930827;1,623601521;1,089766533;0,14504873;0,15961577
0,536238941;0,010773121;1,558558204;1,070233818;-0,064169855;0,808436152;1,374366385;1,89930827;1,623601521;1,089766533;0,14504873
-1,172488945;0,536238941;0,010773121;1,558558204;1,070233818;-0,064169855;0,808436152;1,374366385;1,89930827;1,623601521;1,089766533
-2,358433088;-1,172488945;0,536238941;0,010773121;1,558558204;1,070233818;-0,064169855;0,808436152;1,374366385;1,89930827;1,623601521
-1,90173063;-2,358433088;-1,172488945;0,536238941;0,010773121;1,558558204;1,070233818;-0,064169855;0,808436152;1,374366385;1,89930827
-0,842113727;-1,90173063;-2,358433088;-1,172488945;0,536238941;0,010773121;1,558558204;1,070233818;-0,064169855;0,808436152;1,374366385
-0,638999538;-0,842113727;-1,90173063;-2,358433088;-1,172488945;0,536238941;0,010773121;1,558558204;1,070233818;-0,064169855;0,808436152
