"YS_L1";"YS_L2";"YS_L3";"YS_L4";"YS_L5";"YS_L6";"YS_L7";"YS_L8";"YS_L9";"YS_L10";"YS_L11"
-4,877313373;-5,039255097;-5,13118972;-4,847131406;-4,854528304;-5,086965757;-4,123410523;0,834100366999999;5,972441481;1,22524968;-7,879754299
-5,371806828;-4,877313373;-5,039255097;-5,13118972;-4,847131406;-4,854528304;-5,086965757;-4,123410523;0,834100366999999;5,972441481;1,22524968
-6,099475273;-5,371806828;-4,877313373;-5,039255097;-5,13118972;-4,847131406;-4,854528304;-5,086965757;-4,123410523;0,834100366999999;5,972441481
-7,099248759;-6,099475273;-5,371806828;-4,877313373;-5,039255097;-5,13118972;-4,847131406;-4,854528304;-5,086965757;-4,123410523;0,834100366999999
-8,28744981;-7,099248759;-6,099475273;-5,371806828;-4,877313373;-5,039255097;-5,13118972;-4,847131406;-4,854528304;-5,086965757;-4,123410523
-8,573521855;-8,28744981;-7,099248759;-6,099475273;-5,371806828;-4,877313373;-5,039255097;-5,13118972;-4,847131406;-4,854528304;-5,086965757
-8,381842986;-8,573521855;-8,28744981;-7,099248759;-6,099475273;-5,371806828;-4,877313373;-5,039255097;-5,13118972;-4,847131406;-4,854528304
-9,440324552;-8,381842986;-8,573521855;-8,28744981;-7,099248759;-6,099475273;-5,371806828;-4,877313373;-5,039255097;-5,13118972;-4,847131406
-10,786062078;-9,440324552;-8,381842986;-8,573521855;-8,28744981;-7,099248759;-6,099475273;-5,371806828;-4,877313373;-5,039255097;-5,13118972
-10,368611671;-10,786062078;-9,440324552;-8,381842986;-8,573521855;-8,28744981;-7,099248759;-6,099475273;-5,371806828;-4,877313373;-5,039255097
-8,811496807;-10,368611671;-10,786062078;-9,440324552;-8,381842986;-8,573521855;-8,28744981;-7,099248759;-6,099475273;-5,371806828;-4,877313373
-8,032889817;-8,811496807;-10,368611671;-10,786062078;-9,440324552;-8,381842986;-8,573521855;-8,28744981;-7,099248759;-6,099475273;-5,371806828
-7,15292112;-8,032889817;-8,811496807;-10,368611671;-10,786062078;-9,440324552;-8,381842986;-8,573521855;-8,28744981;-7,099248759;-6,099475273
-4,854157882;-7,15292112;-8,032889817;-8,811496807;-10,368611671;-10,786062078;-9,440324552;-8,381842986;-8,573521855;-8,28744981;-7,099248759
-3,608912131;-4,854157882;-7,15292112;-8,032889817;-8,811496807;-10,368611671;-10,786062078;-9,440324552;-8,381842986;-8,573521855;-8,28744981
-3,948255698;-3,608912131;-4,854157882;-7,15292112;-8,032889817;-8,811496807;-10,368611671;-10,786062078;-9,440324552;-8,381842986;-8,573521855
-3,600643167;-3,948255698;-3,608912131;-4,854157882;-7,15292112;-8,032889817;-8,811496807;-10,368611671;-10,786062078;-9,440324552;-8,381842986
