"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
-0,226;-0,382;0,436;-0,113;-0,506;-1,501;-0,75;-1,002;-0,139;-0,262;0,425;-0,216
0,699;-0,226;-0,382;0,436;-0,113;-0,506;-1,501;-0,75;-1,002;-0,139;-0,262;0,425
1,696;0,699;-0,226;-0,382;0,436;-0,113;-0,506;-1,501;-0,75;-1,002;-0,139;-0,262
1,541;1,696;0,699;-0,226;-0,382;0,436;-0,113;-0,506;-1,501;-0,75;-1,002;-0,139
0,95;1,541;1,696;0,699;-0,226;-0,382;0,436;-0,113;-0,506;-1,501;-0,75;-1,002
0,672;0,95;1,541;1,696;0,699;-0,226;-0,382;0,436;-0,113;-0,506;-1,501;-0,75
0,242;0,672;0,95;1,541;1,696;0,699;-0,226;-0,382;0,436;-0,113;-0,506;-1,501
0,082;0,242;0,672;0,95;1,541;1,696;0,699;-0,226;-0,382;0,436;-0,113;-0,506
-0,495;0,082;0,242;0,672;0,95;1,541;1,696;0,699;-0,226;-0,382;0,436;-0,113
0,334;-0,495;0,082;0,242;0,672;0,95;1,541;1,696;0,699;-0,226;-0,382;0,436
0,633;0,334;-0,495;0,082;0,242;0,672;0,95;1,541;1,696;0,699;-0,226;-0,382
1,149;0,633;0,334;-0,495;0,082;0,242;0,672;0,95;1,541;1,696;0,699;-0,226
1,133;1,149;0,633;0,334;-0,495;0,082;0,242;0,672;0,95;1,541;1,696;0,699
0,792;1,133;1,149;0,633;0,334;-0,495;0,082;0,242;0,672;0,95;1,541;1,696
0,641;0,792;1,133;1,149;0,633;0,334;-0,495;0,082;0,242;0,672;0,95;1,541
0,786;0,641;0,792;1,133;1,149;0,633;0,334;-0,495;0,082;0,242;0,672;0,95
1,072;0,786;0,641;0,792;1,133;1,149;0,633;0,334;-0,495;0,082;0,242;0,672
1,185;1,072;0,786;0,641;0,792;1,133;1,149;0,633;0,334;-0,495;0,082;0,242
0,499;1,185;1,072;0,786;0,641;0,792;1,133;1,149;0,633;0,334;-0,495;0,082
0,65;0,499;1,185;1,072;0,786;0,641;0,792;1,133;1,149;0,633;0,334;-0,495
0,8;0,65;0,499;1,185;1,072;0,786;0,641;0,792;1,133;1,149;0,633;0,334
0,766;0,8;0,65;0,499;1,185;1,072;0,786;0,641;0,792;1,133;1,149;0,633
0,976;0,766;0,8;0,65;0,499;1,185;1,072;0,786;0,641;0,792;1,133;1,149
1,108;0,976;0,766;0,8;0,65;0,499;1,185;1,072;0,786;0,641;0,792;1,133
1,223;1,108;0,976;0,766;0,8;0,65;0,499;1,185;1,072;0,786;0,641;0,792
0,74;1,223;1,108;0,976;0,766;0,8;0,65;0,499;1,185;1,072;0,786;0,641
0,318;0,74;1,223;1,108;0,976;0,766;0,8;0,65;0,499;1,185;1,072;0,786
0,347;0,318;0,74;1,223;1,108;0,976;0,766;0,8;0,65;0,499;1,185;1,072
-0,372;0,347;0,318;0,74;1,223;1,108;0,976;0,766;0,8;0,65;0,499;1,185
-0,834;-0,372;0,347;0,318;0,74;1,223;1,108;0,976;0,766;0,8;0,65;0,499
-0,931;-0,834;-0,372;0,347;0,318;0,74;1,223;1,108;0,976;0,766;0,8;0,65
-0,083;-0,931;-0,834;-0,372;0,347;0,318;0,74;1,223;1,108;0,976;0,766;0,8
0,851;-0,083;-0,931;-0,834;-0,372;0,347;0,318;0,74;1,223;1,108;0,976;0,766
0,772;0,851;-0,083;-0,931;-0,834;-0,372;0,347;0,318;0,74;1,223;1,108;0,976
0,493;0,772;0,851;-0,083;-0,931;-0,834;-0,372;0,347;0,318;0,74;1,223;1,108
-0,023;0,493;0,772;0,851;-0,083;-0,931;-0,834;-0,372;0,347;0,318;0,74;1,223
0,281;-0,023;0,493;0,772;0,851;-0,083;-0,931;-0,834;-0,372;0,347;0,318;0,74
0,834;0,281;-0,023;0,493;0,772;0,851;-0,083;-0,931;-0,834;-0,372;0,347;0,318
0,587;0,834;0,281;-0,023;0,493;0,772;0,851;-0,083;-0,931;-0,834;-0,372;0,347
0,328;0,587;0,834;0,281;-0,023;0,493;0,772;0,851;-0,083;-0,931;-0,834;-0,372
-0,413;0,328;0,587;0,834;0,281;-0,023;0,493;0,772;0,851;-0,083;-0,931;-0,834
-0,475;-0,413;0,328;0,587;0,834;0,281;-0,023;0,493;0,772;0,851;-0,083;-0,931
-0,379;-0,475;-0,413;0,328;0,587;0,834;0,281;-0,023;0,493;0,772;0,851;-0,083
-0,125;-0,379;-0,475;-0,413;0,328;0,587;0,834;0,281;-0,023;0,493;0,772;0,851
0,559;-0,125;-0,379;-0,475;-0,413;0,328;0,587;0,834;0,281;-0,023;0,493;0,772
1,202;0,559;-0,125;-0,379;-0,475;-0,413;0,328;0,587;0,834;0,281;-0,023;0,493
1,194;1,202;0,559;-0,125;-0,379;-0,475;-0,413;0,328;0,587;0,834;0,281;-0,023
0,209;1,194;1,202;0,559;-0,125;-0,379;-0,475;-0,413;0,328;0,587;0,834;0,281
-0,619;0,209;1,194;1,202;0,559;-0,125;-0,379;-0,475;-0,413;0,328;0,587;0,834
-0,93;-0,619;0,209;1,194;1,202;0,559;-0,125;-0,379;-0,475;-0,413;0,328;0,587
-0,651;-0,93;-0,619;0,209;1,194;1,202;0,559;-0,125;-0,379;-0,475;-0,413;0,328
-0,994;-0,651;-0,93;-0,619;0,209;1,194;1,202;0,559;-0,125;-0,379;-0,475;-0,413
-1,298;-0,994;-0,651;-0,93;-0,619;0,209;1,194;1,202;0,559;-0,125;-0,379;-0,475
-1,683;-1,298;-0,994;-0,651;-0,93;-0,619;0,209;1,194;1,202;0,559;-0,125;-0,379
-1,896;-1,683;-1,298;-0,994;-0,651;-0,93;-0,619;0,209;1,194;1,202;0,559;-0,125
-1,632;-1,896;-1,683;-1,298;-0,994;-0,651;-0,93;-0,619;0,209;1,194;1,202;0,559
-1,349;-1,632;-1,896;-1,683;-1,298;-0,994;-0,651;-0,93;-0,619;0,209;1,194;1,202
-1,046;-1,349;-1,632;-1,896;-1,683;-1,298;-0,994;-0,651;-0,93;-0,619;0,209;1,194
-1,021;-1,046;-1,349;-1,632;-1,896;-1,683;-1,298;-0,994;-0,651;-0,93;-0,619;0,209
-0,7;-1,021;-1,046;-1,349;-1,632;-1,896;-1,683;-1,298;-0,994;-0,651;-0,93;-0,619
-0,077;-0,7;-1,021;-1,046;-1,349;-1,632;-1,896;-1,683;-1,298;-0,994;-0,651;-0,93
-0,212;-0,077;-0,7;-1,021;-1,046;-1,349;-1,632;-1,896;-1,683;-1,298;-0,994;-0,651
-0,343;-0,212;-0,077;-0,7;-1,021;-1,046;-1,349;-1,632;-1,896;-1,683;-1,298;-0,994
-0,674;-0,343;-0,212;-0,077;-0,7;-1,021;-1,046;-1,349;-1,632;-1,896;-1,683;-1,298
-0,661;-0,674;-0,343;-0,212;-0,077;-0,7;-1,021;-1,046;-1,349;-1,632;-1,896;-1,683
-0,58;-0,661;-0,674;-0,343;-0,212;-0,077;-0,7;-1,021;-1,046;-1,349;-1,632;-1,896
-0,78;-0,58;-0,661;-0,674;-0,343;-0,212;-0,077;-0,7;-1,021;-1,046;-1,349;-1,632
-0,905;-0,78;-0,58;-0,661;-0,674;-0,343;-0,212;-0,077;-0,7;-1,021;-1,046;-1,349
-1,107;-0,905;-0,78;-0,58;-0,661;-0,674;-0,343;-0,212;-0,077;-0,7;-1,021;-1,046
-1,003;-1,107;-0,905;-0,78;-0,58;-0,661;-0,674;-0,343;-0,212;-0,077;-0,7;-1,021
-0,65;-1,003;-1,107;-0,905;-0,78;-0,58;-0,661;-0,674;-0,343;-0,212;-0,077;-0,7
-0,437;-0,65;-1,003;-1,107;-0,905;-0,78;-0,58;-0,661;-0,674;-0,343;-0,212;-0,077
-0,086;-0,437;-0,65;-1,003;-1,107;-0,905;-0,78;-0,58;-0,661;-0,674;-0,343;-0,212
0,047;-0,086;-0,437;-0,65;-1,003;-1,107;-0,905;-0,78;-0,58;-0,661;-0,674;-0,343
0,873;0,047;-0,086;-0,437;-0,65;-1,003;-1,107;-0,905;-0,78;-0,58;-0,661;-0,674
2,036;0,873;0,047;-0,086;-0,437;-0,65;-1,003;-1,107;-0,905;-0,78;-0,58;-0,661
1,655;2,036;0,873;0,047;-0,086;-0,437;-0,65;-1,003;-1,107;-0,905;-0,78;-0,58
0,791;1,655;2,036;0,873;0,047;-0,086;-0,437;-0,65;-1,003;-1,107;-0,905;-0,78
-0,674;0,791;1,655;2,036;0,873;0,047;-0,086;-0,437;-0,65;-1,003;-1,107;-0,905
-0,396;-0,674;0,791;1,655;2,036;0,873;0,047;-0,086;-0,437;-0,65;-1,003;-1,107
-0,971;-0,396;-0,674;0,791;1,655;2,036;0,873;0,047;-0,086;-0,437;-0,65;-1,003
-1,065;-0,971;-0,396;-0,674;0,791;1,655;2,036;0,873;0,047;-0,086;-0,437;-0,65
-0,791;-1,065;-0,971;-0,396;-0,674;0,791;1,655;2,036;0,873;0,047;-0,086;-0,437
0,379;-0,791;-1,065;-0,971;-0,396;-0,674;0,791;1,655;2,036;0,873;0,047;-0,086
0,789;0,379;-0,791;-1,065;-0,971;-0,396;-0,674;0,791;1,655;2,036;0,873;0,047
0,652;0,789;0,379;-0,791;-1,065;-0,971;-0,396;-0,674;0,791;1,655;2,036;0,873
-0,056;0,652;0,789;0,379;-0,791;-1,065;-0,971;-0,396;-0,674;0,791;1,655;2,036
-0,092;-0,056;0,652;0,789;0,379;-0,791;-1,065;-0,971;-0,396;-0,674;0,791;1,655
-0,00600000000000001;-0,092;-0,056;0,652;0,789;0,379;-0,791;-1,065;-0,971;-0,396;-0,674;0,791
0,903;-0,00600000000000001;-0,092;-0,056;0,652;0,789;0,379;-0,791;-1,065;-0,971;-0,396;-0,674
1,538;0,903;-0,00600000000000001;-0,092;-0,056;0,652;0,789;0,379;-0,791;-1,065;-0,971;-0,396
2,054;1,538;0,903;-0,00600000000000001;-0,092;-0,056;0,652;0,789;0,379;-0,791;-1,065;-0,971
1,209;2,054;1,538;0,903;-0,00600000000000001;-0,092;-0,056;0,652;0,789;0,379;-0,791;-1,065
0,829;1,209;2,054;1,538;0,903;-0,00600000000000001;-0,092;-0,056;0,652;0,789;0,379;-0,791
0,303;0,829;1,209;2,054;1,538;0,903;-0,00600000000000001;-0,092;-0,056;0,652;0,789;0,379
0,607;0,303;0,829;1,209;2,054;1,538;0,903;-0,00600000000000001;-0,092;-0,056;0,652;0,789
0,066;0,607;0,303;0,829;1,209;2,054;1,538;0,903;-0,00600000000000001;-0,092;-0,056;0,652
0,078;0,066;0,607;0,303;0,829;1,209;2,054;1,538;0,903;-0,00600000000000001;-0,092;-0,056
0,198;0,078;0,066;0,607;0,303;0,829;1,209;2,054;1,538;0,903;-0,00600000000000001;-0,092
0,66;0,198;0,078;0,066;0,607;0,303;0,829;1,209;2,054;1,538;0,903;-0,00600000000000001
0,931;0,66;0,198;0,078;0,066;0,607;0,303;0,829;1,209;2,054;1,538;0,903
1,569;0,931;0,66;0,198;0,078;0,066;0,607;0,303;0,829;1,209;2,054;1,538
2,481;1,569;0,931;0,66;0,198;0,078;0,066;0,607;0,303;0,829;1,209;2,054
2,802;2,481;1,569;0,931;0,66;0,198;0,078;0,066;0,607;0,303;0,829;1,209
2,077;2,802;2,481;1,569;0,931;0,66;0,198;0,078;0,066;0,607;0,303;0,829
1,406;2,077;2,802;2,481;1,569;0,931;0,66;0,198;0,078;0,066;0,607;0,303
1,235;1,406;2,077;2,802;2,481;1,569;0,931;0,66;0,198;0,078;0,066;0,607
1,983;1,235;1,406;2,077;2,802;2,481;1,569;0,931;0,66;0,198;0,078;0,066
2,279;1,983;1,235;1,406;2,077;2,802;2,481;1,569;0,931;0,66;0,198;0,078
2,188;2,279;1,983;1,235;1,406;2,077;2,802;2,481;1,569;0,931;0,66;0,198
1,667;2,188;2,279;1,983;1,235;1,406;2,077;2,802;2,481;1,569;0,931;0,66
1,275;1,667;2,188;2,279;1,983;1,235;1,406;2,077;2,802;2,481;1,569;0,931
1,471;1,275;1,667;2,188;2,279;1,983;1,235;1,406;2,077;2,802;2,481;1,569
1,794;1,471;1,275;1,667;2,188;2,279;1,983;1,235;1,406;2,077;2,802;2,481
1,932;1,794;1,471;1,275;1,667;2,188;2,279;1,983;1,235;1,406;2,077;2,802
1,937;1,932;1,794;1,471;1,275;1,667;2,188;2,279;1,983;1,235;1,406;2,077
2,042;1,937;1,932;1,794;1,471;1,275;1,667;2,188;2,279;1,983;1,235;1,406
2,348;2,042;1,937;1,932;1,794;1,471;1,275;1,667;2,188;2,279;1,983;1,235
2,502;2,348;2,042;1,937;1,932;1,794;1,471;1,275;1,667;2,188;2,279;1,983
2,141;2,502;2,348;2,042;1,937;1,932;1,794;1,471;1,275;1,667;2,188;2,279
1,47;2,141;2,502;2,348;2,042;1,937;1,932;1,794;1,471;1,275;1,667;2,188
1,142;1,47;2,141;2,502;2,348;2,042;1,937;1,932;1,794;1,471;1,275;1,667
1,368;1,142;1,47;2,141;2,502;2,348;2,042;1,937;1,932;1,794;1,471;1,275
1,752;1,368;1,142;1,47;2,141;2,502;2,348;2,042;1,937;1,932;1,794;1,471
1,982;1,752;1,368;1,142;1,47;2,141;2,502;2,348;2,042;1,937;1,932;1,794
1,822;1,982;1,752;1,368;1,142;1,47;2,141;2,502;2,348;2,042;1,937;1,932
1,515;1,822;1,982;1,752;1,368;1,142;1,47;2,141;2,502;2,348;2,042;1,937
1,069;1,515;1,822;1,982;1,752;1,368;1,142;1,47;2,141;2,502;2,348;2,042
0,961;1,069;1,515;1,822;1,982;1,752;1,368;1,142;1,47;2,141;2,502;2,348
1,055;0,961;1,069;1,515;1,822;1,982;1,752;1,368;1,142;1,47;2,141;2,502
1,027;1,055;0,961;1,069;1,515;1,822;1,982;1,752;1,368;1,142;1,47;2,141
0,55;1,027;1,055;0,961;1,069;1,515;1,822;1,982;1,752;1,368;1,142;1,47
0,267;0,55;1,027;1,055;0,961;1,069;1,515;1,822;1,982;1,752;1,368;1,142
0,05;0,267;0,55;1,027;1,055;0,961;1,069;1,515;1,822;1,982;1,752;1,368
-0,148;0,05;0,267;0,55;1,027;1,055;0,961;1,069;1,515;1,822;1,982;1,752
-0,748;-0,148;0,05;0,267;0,55;1,027;1,055;0,961;1,069;1,515;1,822;1,982
-1,266;-0,748;-0,148;0,05;0,267;0,55;1,027;1,055;0,961;1,069;1,515;1,822
