F1;F2;F3;F4 ;F5;F6;F7;F8
0,244527446;-0,565127899;-0,581108246;1,03284964;0,26487701;0,276881352;-0,211318936;-0,089659901
1,404625982;-0,92731891;-0,446149764;-0,393567184;0,921481925;-0,42535406;-0,024868932;-0,070195405
1,691569584;0,00770566;-0,420517846;-1,051846418;0,367435009;-0,625082395;0,032771131;0,123380866
1,036820301;0,073025858;-0,163427347;-0,686178217;0,423726414;-0,061715902;0,143447153;0,097921939
0,523772461;0,067590991;-0,061497117;0,068180651;0,271071638;0,650657507;0,290833951;0,121222449
-0,338328315;0,233725226;-0,181880302;0,563584414;0,008920104;0,577878129;0,184103369;0,029577531
-0,537550776;0,100696257;0,004419581;0,440371449;0,186306824;0,50873671;0,104943239;0,322777646
-0,603459114;-0,041406173;-0,118005107;0,387058157;0,302362655;0,341374282;0,202403615;0,196308867
-0,602892364;-0,186271902;-0,336762342;0,686671183;0,382746529;0,405172676;0,295385656;0,197213612
-0,287160897;-0,67260039;-0,599912886;0,575579165;0,644162079;0,03884999;0,163908058;0,144843405
0,305622332;-0,368637985;-0,854174693;-0,283279515;0,845391834;-0,306965103;0,092381181;0,053203456
0,222168823;-0,291083007;-0,387494711;0,326138924;0,173067334;0,005134155;-0,033423514;-0,272548016
0,191731569;-0,214695903;0,061702408;-0,369628136;0,388021127;-0,285276417;0,038270715;-0,033418112
-0,099760419;-0,359868654;-0,16667773;0,348059063;0,268842744;0,129686889;0,248184378;-0,042398026
-0,194515949;-0,330084456;-0,473125866;0,894852808;0,498325014;0,351635329;0,174556629;0,073076491
0,397689161;-0,376330686;-0,551334503;-0,219180149;0,863898245;-0,596151606;0,056934119;-0,013190119
-0,037682046;-0,334102201;-0,597658425;0,574699735;0,706220837;0,013645504;0,059914165;-0,041683578
0,229350367;-0,228086835;-0,195059938;0,507813902;0,463949785;0,170783527;0,191662428;-0,003867466
0,635975468;-0,093993907;-0,194099377;0,255983819;0,075278821;-0,187114563;-0,457064929;0,023697094
0,860354657;-0,156602729;0,131552854;-0,230980747;0,320293428;-0,213791334;-0,099465511;-0,004947979
1,202505017;0,16440987;-0,10616549;-0,877795058;0,5213027;-0,68462877;-0,190232279;0,013769488
0,951409842;-0,017064751;0,029839355;0,181636433;0,025186111;0,192314114;0,061584492;-0,042483905
0,851652996;-0,04664001;-0,236108032;0,954933305;-0,242630606;0,610615065;0,153113055;0,124868052
-0,108566374;0,233856968;0,237432682;0,572410037;0,875151319;0,474548312;-0,177961385;-0,281397849
0,854888792;-0,128070152;0,017054371;-0,198039825;0,448792994;-0,133942311;-0,199640479;-0,03488216
0,756717741;0,098378279;-0,198566879;0,09967492;0,378182525;0,231838793;0,183726272;-0,068658284
0,580894973;0,423302063;-0,456607379;-0,177048433;0,482002449;0,088520395;-0,143460711;-0,095864487
0,618446103;0,067630125;-0,23448011;0,685557577;0,19814098;0,446601216;-0,329594486;-0,173592234
0,773552737;-0,011553148;0,353445262;-0,28921383;0,326283565;0,165707945;-0,084071528;0,050248906
1,021792276;0,121428867;0,371691575;-0,685601185;0,136756188;-0,229836109;-0,157446869;-0,231017233
0,656897684;0,349244565;0,155131127;-0,475420035;0,354025004;0,194237715;0,321207609;-0,071274572
0,964175541;0,412462264;-0,143503762;-0,686823193;0,312393985;0,022563495;0,128788693;-0,073244467
0,600920284;0,079533524;0,207483426;-0,320847429;0,256905524;0,348700772;0,087064644;-0,095419644
0,420472408;0,03557402;0,169749088;-0,258024848;0,058591042;0,126671416;-3,99E-03;0,217531129
