Period;YA;YN;YM;YS;YW
1985M12;0,785289943;-4,151474227;-0,950819566;2,069240927;1,3516076
1986M01;0,297252879;-2,537778963;-0,353755179;1,030035989;-4,336683941
1986M02;2,206493254;-3,709592843;-1,893934389;0,357320649;-2,740792763
1986M03;2,97225262;-5,861489978;-2,813083322;-0,725054863;2,554243327
1986M04;2,869548829;-5,151076365;-1,203336213;-1,098066291;3,333767394
1986M05;1,320023783;-4,769976857;1,659593247;0,913081106;-3,921145696
1986M06;0,399942757;-7,199232307;3,298334642;2,25726525;-6,90707088
1986M07;1,919240846;-9,059093499;1,594553884;0,564999637;-0,677182721
1986M08;1,165992533;-6,341499663;-2,680743213;0,200293012;-1,433750604
1986M09;0,318013469;-4,300120736;-3,676160387;2,224673974;-7,304910471
1986M10;1,445119943;-7,10946973;0,381990515;3,188055722;-3,700024707
1986M11;1,738317336;-8,446153558;2,334301028;1,703784557;3,322943441
1986M12;2,008405244;-5,483430523;-0,596033124;0,136745768;1,339345119
1987M01;0,393234324;-1,186255161;-2,02694477;1,069736345;-3,507275153
1987M02;0,697405695;-1,143429409;0,430404514;2,189928207;-0,309700579
1987M03;0,795294745;-4,456767305;1,51235671;0,684086981;0,284553072
1987M04;0,256649831;-7,13401917;0,26153943;0,745157528;-5,642757764
1987M05;0,688393242;-8,002197318;-0,360655426;4,176988422;-8,287395523
1987M06;-0,352514794;-5,725161637;-0,702645399;3,029822047;-6,02523359
1987M07;-0,084957641;-2,992180841;-0,816690782;-1,468112079;-2,866271236
1987M08;-0,986109975;-2,875683167;-0,062779256;-0,708164201;-4,029521904
1987M09;-0,541062753;-3,801945139;0,129989676;2,411262399;-5,154757872
1987M10;-0,284278578;-3,032277597;0,195877394;2,763425405;-3,335480627
1987M11;0,359006333;-1,098235573;0,519948771;0,792249945;-0,574502947
1987M12;0,553001943;0,000460395;-0,204494296;-0,160972393;-1,878727901
1988M01;-0,252054451;0,949260298;-1,008372065;0,506988217;-1,765899296
1988M02;1,008790104;0,006944931;-0,857896649;0,961657523;2,687040467
1988M03;0,215873695;-1,321839484;-0,386742655;1,456294452;-0,14151947
1988M04;-0,496202776;-1,169770499;0,52408309;0,86842096;-4,32279429
1988M05;0,051814983;-1,666578525;0,617573996;0,046607735;-2,857564388
1988M06;-0,943642645;-0,3987294;-0,960021381;0,846564819;-2,445555056
1988M07;-1,478608514;1,760113864;-0,758176751;1,321966056;-0,416616503
1988M08;-0,942971291;1,555881047;1,360232606;1,015682732;1,747854311
1988M09;-1,49913201;1,60267632;0,933712468;1,555474251;-1,314515756
