CCV1;CCV2;CCV3;CCV4;CCV5;CCV6;CCV7;CCV8;CCV9;CCV10
7,889605656;10,12922921;6,785797315;0,408069988;1819,953567;5267,394009;2,899338622;45,69407315;33,17128153;4,328312253
8,928831779;10,50297639;8,747009461;0,390424327;8525,911107;3784,389375;4,491432797;41,10884201;24,74769571;4,275178126
6,319064607;8,935943085;4,983432306;0,399890751;1329,249487;2933,555593;4,050111114;33,83118273;14,54205491;4,126733037
5,800672933;8,545567068;4,476570303;0,396967931;414,6520932;2892,70037;3,080954873;25,77289394;8,011624606;4,123183229
5,925721254;9,004337813;4,409333239;0,405498167;210,149747;2844,613598;3,953334063;25,46950909;10,1186644;4,597112744
5,931003732;8,859411551;4,385196824;0,434511754;189,1068204;4928,219998;1,698779801;13,6266224;1,690546834;5,303337201
8,853064442;11,82643811;6,075852201;0,447905817;208,8759801;3183,607073;3,585223836;19,21237799;4,198752349;6,096623037
7,198996843;9,365532586;7,292922253;0,505079607;252,657597;14153,52531;7,690625268;6,176532455;7,568333555;7,7169483
16,85990587;11,69980806;32,7011155;0,383878901;189,8650463;22168,14686;4,175811847;3,95593566;3,955948777;4,67735207
11,44259219;10,24573485;18,17884905;0,416882296;212,889627;6955,901184;4,392865066;4,371845876;4,339786304;4,257510642
6,547947863;8,859563468;6,767314661;0,490417141;348,9994757;3636,68982;8,525899869;8,89233174;9,25058449;7,353199173
6,477062568;9,496731904;4,731641355;0,383206429;390,9165078;3075,279151;11,36606738;11,59342225;10,98296848;5,688309395
7,785447994;9,520813858;7,90506555;0,402288196;1808,487209;5534,519228;11,54682924;11,54234288;11,10797498;4,50424233
6,129442301;8,75890411;4,851639816;0,402035554;923,1862618;3468,830909;7,171427574;6,721275477;6,757258806;4,474222377
5,902494981;8,695984054;4,438416032;0,448311271;1373,404883;2902,416513;2,51132884;2,038823589;1,590932093;6,523200662
7,732531245;9,879904035;6,725152379;0,372043012;9788,716924;2983,283408;1,182793926;1,010753168;2,183199625;5,88039329
6,526859238;9,57663096;4,69105179;0,410228856;2149,949976;3139,378058;1,244270398;1,166346704;4,448659798;4,546723855
6,49815611;8,847449822;6,099972918;0,394549312;565,9984721;3024,369565;1,237745345;1,142142261;3,247461956;4,096357299
6,626302312;8,801934995;6,319759841;0,460698349;227,2972702;2900,392817;1,194338367;1,098206032;1,247052294;4,56938592
30,98524189;22,84204483;42,04885157;0,371003031;206,4412902;46471,38977;1,17023713;1,075168942;1,37883862;4,153746845
13,65431873;12,63723179;18,3077145;0,447243286;185,1094707;14697,049;1,514436505;1,455623567;1,97159167;4,752610794
6,888146278;9,863715081;6,508941381;0,394034987;186,5302206;5826,762846;2,371571619;2,363493005;3,151518297;4,816772379
