NMEU1;NMEU3;NMEU12;NFEU1;NFEU3;NFEU12
-0,004125784;-0,008971974;-0,009921973;-0,002953922;-0,004135061;-0,000585846
-0,003912833;-0,009280586;-0,010043273;-0,003802929;-0,004289263;-0,000263063
-0,004731322;-0,009921422;-0,010264033;-0,001621255;-0,003335072;-0,000609439
-0,006807421;-0,010168792;-0,009738827;-0,000643886;-0,002939754;-0,000839442
-0,007684612;-0,01029493;-0,009491508;-0,000312767;-0,002782237;-0,000871588
-0,007056538;-0,009632597;-0,008992713;4,23987E-07;-0,002518034;-0,00077184
-0,00792567;-0,010063417;-0,008902382;-0,000130124;-0,002283211;-0,000391505
-0,008839057;-0,010706623;-0,009014597;0,000723155;-0,001155775;0,000373824
-0,008341032;-0,010218068;-0,008895903;0,001629146;0,000238007;0,001385655
-0,006887793;-0,009083891;-0,008220892;0,00144731;0,001452574;0,002696303
-0,006142833;-0,008278241;-0,007817993;-0,00194306;0,001908072;0,004374743
-0,005439253;-0,00748997;-0,007483586;-0,000363793;0,000401615;0,002551822
-0,006092086;-0,007820251;-0,007709678;-0,001978316;-0,001886781;0,001024863
-0,005118569;-0,007062824;-0,007652623;-0,001934874;-0,002702302;-4,62605E-05
-0,006615208;-0,008113528;-0,007954786;-0,002662863;-0,003632354;-0,000920268
-0,00562997;-0,007445361;-0,007871863;-0,002665653;-0,004384465;-0,001861746
-0,005706481;-0,007667723;-0,008174877;-0,003123495;-0,005163504;-0,00255765
-0,006634975;-0,008382215;-0,008325281;-0,003828139;-0,005900812;-0,003007584
-0,007991586;-0,009241024;-0,008671553;-0,005452367;-0,007082598;-0,003379669
-0,007501563;-0,008473033;-0,00851021;-0,005284259;-0,007394063;-0,003867025
-0,00775854;-0,008426194;-0,008499357;-0,005380935;-0,007771089;-0,004301187
-0,007809884;-0,008355649;-0,008441756;-0,006400328;-0,008700244;-0,004759888
-0,007387732;-0,00819715;-0,008586208;-0,006808467;-0,009016029;-0,004986936
-0,007734217;-0,008726862;-0,00909399;-0,007180008;-0,0093542;-0,005106496
-0,007542415;-0,008953103;-0,009645255;-0,007578761;-0,009790468;-0,005297899
-0,006262646;-0,008302929;-0,009483915;-0,008021832;-0,010052382;-0,0052749
-0,005110726;-0,007943568;-0,009759765;-0,007227076;-0,009544911;-0,00528113
-0,005862666;-0,008672228;-0,010152928;-0,006978828;-0,009392528;-0,005235061
-0,005989829;-0,008846674;-0,010130781;-0,006884743;-0,009223117;-0,005074863
-0,006141983;-0,009332941;-0,010196292;-0,006145673;-0,008546016;-0,004787229
-0,005451752;-0,008827691;-0,00993146;-0,005892408;-0,008241388;-0,004459347
-0,005134576;-0,008713749;-0,009770702;-0,006061404;-0,008134044;-0,00399433
-0,006149949;-0,009024876;-0,009463554;-0,005185467;-0,007377513;-0,003755927
-0,007226143;-0,009445781;-0,009239952;-0,004440631;-0,006586642;-0,003343954
-0,007222461;-0,009148819;-0,008891177;-0,004171313;-0,005905694;-0,002791044
-0,007565604;-0,009382418;-0,008766835;-0,003549859;-0,005583824;-0,002680519
-0,00796152;-0,009764752;-0,008927215;-0,003716083;-0,005538831;-0,002368252
-0,007036792;-0,009508303;-0,009097512;-0,004908699;-0,005833594;-0,001831688
-0,007048537;-0,00932801;-0,009062463;-0,00441288;-0,005741788;-0,001934794
-0,007719152;-0,009657668;-0,009013537;-0,003907981;-0,00535242;-0,001742468
-0,006012329;-0,008839486;-0,00903742;-0,003680338;-0,004791176;-0,001223286
-0,007029056;-0,008927745;-0,008765455;-0,003612951;-0,004448942;-0,000780589
-0,00622458;-0,008528057;-0,008827349;-0,001748756;-0,003113097;-0,000399906
-0,006692853;-0,008971234;-0,009189166;-0,000721379;-0,001941038;0,000228734
-0,007136491;-0,009248881;-0,00938123;-0,000701025;-0,001123537;0,001027634
-0,007058049;-0,009287852;-0,00922081;0,000336918;-0,000628387;0,000898782
