CC1;CC2;CC3;CC4;CC5;CC6;CC7;CC8;CC9;CC10
-5;-5,58;-4,46;0,67;-15;56;3,69;-0,96;-0,25;3,74
-2,6;-3,11;-2,05;0,85;-56;38;4,45;0,28;1,43;3,43
-0,15;-1,21;0,9;1,1;11;-5;5,2;1,46;2,94;3,61
-2,56;-3,53;-1,56;0,83;-64;1;6,52;3,16;5,41;5,58
-0,81;-2;0,37;0,09;-41;3;6,8;3,79;6,07;2,86
0,65;-0,9;2,18;0,64;3;-1;6,83;4,13;6,56;2,21
-0,45;-0,75;-0,16;0;1;-4;6,28;3,86;6,15;0,45
-2,4;-3,44;-1,35;0,72;4;33;6,82;4,65;6,8;3,57
-4,86;-4,3;-5,41;-0,67;2;133;6,7;6,7;6,7;1,74
-1,69;-0,27;-3,11;-1;-8;147;6,03;6,03;5,02;0,06
-2,64;-2,44;-2,84;0,23;1;69;5,9;5,9;5,42;1,47
-0,4;0,14;-0,92;0,65;4;26;5,99;5,99;5,35;2,11
2,01;2,5;1,54;-0,02;3;-21;0,48;5,13;4,16;-0,76
0,42;0,57;0,27;-0,54;13;-8;-0,13;4,04;2,24;-1,69
-0,81;-1,18;-0,42;0,33;-3;1;0,25;3,99;2,51;1,12
-0,92;-0,63;-1,21;-0,74;-39;5;-0,46;2,9;0,65;-2,03
-0,74;-1,17;-0,32;0,57;3;2;0,1;3,11;0,83;1,5
-0,76;-0,92;-0,6;-0,34;4;-2;-0,17;2,53;0,1;-0,78
3,49;4,07;2,92;0,19;17;-37;-0,32;2,1;-0,33;-0,5
-2,36;-2,19;-2,52;0,09;-7;44;-0,15;2,02;-0,14;0,41
5,75;3,82;7,65;0,37;-3;-123;-0,01;-0,01;-0,01;0,36
2,52;0,83;4,21;0,46;2;-80;-0,87;0,4;1,08;1,24
0,86;1,38;0,34;-0,51;-5;72;-1,29;-0,15;-0,33;-1,52
4,88;4,92;4,85;-0,24;14;-98;-1,87;-1,87;-1,23;-2,15
1,55;1,28;1,82;-0,05;16;-25;-0,97;-1,91;-1,35;-0,71
