MEU1;MEU3;MEU12;FEU1;FEU3;FEU12
0,588928387;0,706017803;0,861708108;0,720466757;0,80086248;0,934492107
0,574246314;0,699198376;0,859518757;0,717896284;0,79858006;0,933836685
0,568700348;0,696375309;0,857265805;0,715561455;0,796455567;0,932885066
0,563574498;0,691019756;0,852347732;0,715944926;0,797084652;0,933393796
0,556975952;0,684908788;0,847419099;0,703510445;0,787650366;0,930750646
0,545147574;0,675740586;0,843960931;0,688955706;0,77637869;0,927441899
0,534927731;0,667501421;0,84097179;0,681328926;0,770312548;0,92536729
0,535028806;0,667759708;0,842310651;0,683349894;0,771984166;0,925621652
0,543897576;0,673781028;0,844823384;0,68091974;0,770047329;0,924919478
0,550890665;0,680685046;0,849046677;0,688267254;0,775649697;0,926287151
0,550569748;0,680366348;0,850534013;0,697690065;0,782828338;0,927903691
0,574585295;0,694494085;0,854923845;0,700160065;0,784758099;0,928310722
0,582256307;0,703589227;0,860462836;0,703014313;0,787244521;0,929294439
0,57705898;0,704205067;0,863916706;0,710066868;0,793094231;0,931284549
0,575275882;0,706116003;0,867703544;0,722745951;0,802454006;0,933444681
0,560372197;0,695058806;0,86487909;0,701340349;0,786246363;0,929162488
0,555454501;0,691245005;0,863254612;0,695543526;0,781957288;0,92814868
0,549781653;0,686227901;0,859813919;0,697171182;0,78349323;0,928967482
0,549158581;0,685903028;0,859643633;0,69294993;0,780101476;0,928063882
0,549017985;0,686431112;0,860867441;0,696541017;0,782711974;0,928862574
0,549244441;0,685651924;0,86060235;0,6931452;0,779856028;0,927949031
0,551032496;0,687610811;0,862399036;0,692698988;0,77886871;0,927151038
0,547865457;0,686570192;0,862757244;0,703259179;0,786378593;0,928613056
0,553835733;0,691864505;0,865502142;0,687149602;0,773135186;0,924279355
0,559603216;0,696983102;0,867874215;0,677875897;0,765926629;0,922174121
0,569783675;0,705376326;0,870713497;0,674376586;0,763262734;0,92143531
0,568437369;0,702856136;0,869258343;0,664610666;0,75569421;0,919325523
0,57257985;0,704535974;0,869077102;0,664796371;0,755750263;0,919201485
0,570928641;0,704140249;0,867358756;0,671042961;0,760823048;0,920812015
0,561755465;0,697381767;0,864338206;0,685104547;0,771302683;0,923435826
0,55880724;0,695501936;0,862452104;0,695277466;0,778348648;0,92509459
0,561454201;0,697717088;0,862775726;0,691369185;0,776396143;0,925108041
0,552356258;0,690786335;0,859382419;0,699876585;0,783537995;0,927597804
0,556164627;0,694963907;0,859940951;0,715133776;0,795393238;0,93083032
0,567143881;0,703510338;0,862262916;0,709541287;0,7919961;0,930762937
0,57806418;0,713652476;0,866791767;0,695065896;0,780925817;0,928094411
0,6004658;0,733410144;0,875385925;0,69073261;0,777644283;0,92746387
0,613658663;0,742541757;0,87875141;0,696586804;0,782292352;0,929181887
0,600333265;0,731875263;0,875475476;0,710077161;0,793457464;0,933316622
0,581439076;0,71604672;0,86851031;0,73497814;0,812772093;0,939393383
0,565699847;0,702482489;0,863209662;0,758189283;0,831239748;0,945504255
0,555721551;0,694146738;0,858699495;0,790957508;0,857148214;0,953822046
0,550986682;0,689653258;0,855586074;0,829057038;0,887287789;0,963612263
0,549200019;0,685974644;0,853147715;0,820261065;0,88180273;0,963544314
0,546520984;0,68356792;0,853037844;0,804246804;0,871263569;0,962685301
0,547928177;0,684375941;0,853612082;0,801564806;0,87001175;0,963656054
0,5481938;0,683797047;0,854342334;0,80757125;0,875522801;0,966339629
0,547151724;0,682759326;0,853244208;0,804416774;0,873812994;0,966819199
0,547343936;0,682707422;0,852727846;0,816556695;0,88339795;0,97014263
0,549673232;0,685127883;0,853807871;0,82983492;0,894274589;0,974007774
0,544327059;0,68055429;0,850139749;0,854734653;0,913560498;0,979746648
0,547268729;0,681676669;0,848482634;0,869646028;0,92531724;0,983282525
0,544863663;0,680752405;0,848677196;0,901264801;0,948791041;0,989390047
0,545557721;0,6799434;0,848374179;0,892195742;0,94313508;0,988924252
0,551759662;0,684634205;0,849269591;0,899994269;0,949824992;0,991854087
0,562038579;0,692179612;0,850626532;0,901034285;0,950987891;0,992691014
0,55581617;0,687578196;0,848836181;0,913727607;0,959992396;0,994899507
0,553938885;0,68618049;0,848252432;0,906966518;0,955506128;0,994414477
0,555409789;0,687473015;0,84994676;0,887909934;0,941557808;0,991140906
0,557884081;0,689953306;0,851477796;0,886871291;0,940695876;0,991038904
0,56542828;0,695834498;0,852383517;0,900303414;0,950832365;0,993782101
0,565697219;0,696562131;0,851614896;0,931195958;0,974078905;1,000092681
0,568981933;0,700243712;0,853882691;0,935915382;0,978380219;1,002085327
0,578899083;0,710177459;0,859247848;0,956957999;0,994683547;1,007120706
